hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457021.6263,be,V,12.685,0.02,32.364,0.596
2456973.71933,be,V,12.647,0.02,33.519,0.617
2456862.9424,bf,V,12.612,0.02,34.842,0.641
2457729.58879,be,V,12.69,0.02,32.198,0.592
2457471.57583,be,V,12.617,0.02,34.435,0.634
2457444.66201,be,V,12.598,0.02,35.041,0.645
2457130.52655,bf,V,12.68,0.02,32.687,0.601
2457011.69959,bf,V,12.555,0.02,36.666,0.675
2456918.80213,bf,V,12.654,0.02,33.504,0.616
2458017.76962,be,V,12.636,0.02,33.844,0.623
2457845.51263,be,V,12.663,0.02,33.024,0.608
2457604.89509,be,V,12.604,0.02,34.871,0.642
2457440.66535,be,V,12.643,0.02,33.644,0.619
2458358.8385,be,V,12.689,0.02,32.24,0.593
2457787.54297,be,V,12.592,0.02,35.243,0.648
2457592.92247,be,V,12.619,0.02,34.38,0.633
2457447.64226,be,V,12.537,0.02,37.066,0.682
2457322.69878,be,V,12.589,0.02,35.352,0.65
2457094.50128,be,V,12.586,0.02,35.455,0.652
2457022.63373,be,V,12.552,0.02,36.555,0.673
2457002.65473,be,V,12.634,0.02,33.898,0.624
2458370.80855,be,V,12.607,0.02,34.759,0.64
2457247.86023,be,V,12.583,0.02,35.537,0.654
2457045.62024,be,V,12.578,0.02,35.719,0.657
2457044.63705,bf,V,12.702,0.02,32.056,0.59
2456996.5735,bf,V,12.62,0.02,34.545,0.636
2458007.79556,be,V,12.656,0.02,33.237,0.612
2457851.53821,be,V,12.692,0.02,32.145,0.591
2457155.45902,bf,V,12.642,0.02,33.847,0.623
2457132.52403,bf,V,12.626,0.02,34.353,0.632
2457040.63633,bf,V,12.671,0.02,32.96,0.606
2457020.67192,bf,V,12.586,0.02,35.684,0.657
2457015.67194,bf,V,12.593,0.02,35.402,0.651
2456943.76816,be,V,12.616,0.02,34.463,0.634
2456809.44565,bf,V,12.552,0.02,36.775,0.677
2458088.71775,be,V,12.552,0.02,36.573,0.673
2458020.75919,be,V,12.574,0.02,35.848,0.66
2457981.88061,be,V,12.565,0.02,36.137,0.665
2457124.52187,bf,V,12.642,0.02,33.841,0.623
2457112.54893,bf,V,12.55,0.02,36.855,0.678
2457067.57933,be,V,12.612,0.02,34.599,0.637
2457060.57708,be,V,12.539,0.02,37.017,0.681
2456991.72734,be,V,12.596,0.02,35.127,0.646
2458143.69726,be,V,12.617,0.02,34.438,0.634
2458108.77813,be,V,12.632,0.02,33.964,0.625
2457302.83542,be,V,12.606,0.02,34.782,0.64
2457270.91697,bf,V,12.597,0.02,35.279,0.649
2457050.61454,be,V,12.619,0.02,34.37,0.632
2457034.6968,bf,V,12.622,0.02,34.473,0.634
2456942.74753,be,V,12.555,0.02,36.473,0.671
2456888.88938,bf,V,12.63,0.02,34.238,0.63
2456885.85813,be,V,12.595,0.02,35.136,0.646
2458125.53881,be,V,12.59,0.02,35.317,0.65
2458102.8505,be,V,12.622,0.02,34.288,0.631
2457867.48465,be,V,12.602,0.02,34.934,0.643
2457775.75452,be,V,12.6,0.02,34.977,0.644
2457485.52059,be,V,12.632,0.02,33.967,0.625
2457394.62081,be,V,12.588,0.02,35.374,0.651
2457362.74684,be,V,12.567,0.02,36.071,0.664
2457269.80268,be,V,12.652,0.02,33.366,0.614
2457056.59973,be,V,12.574,0.02,35.848,0.66
2457047.61038,be,V,12.575,0.02,35.815,0.659
2457025.64662,bf,V,12.636,0.02,34.043,0.626
2456863.94256,bf,V,12.59,0.02,35.551,0.654
2458151.64325,be,V,12.57,0.02,35.98,0.662
2458128.53867,be,V,12.585,0.02,35.468,0.653
2457949.93877,be,V,12.58,0.02,35.626,0.656
2457448.6471,be,V,12.61,0.02,34.669,0.638
2457150.45047,be,V,12.565,0.02,36.125,0.665
2457135.48721,be,V,12.58,0.02,35.631,0.656
2457032.74391,be,V,12.548,0.02,36.702,0.675
2457019.68626,bf,V,12.662,0.02,33.238,0.612
2456972.70837,bf,V,12.608,0.02,34.933,0.643
2456921.77532,be,V,12.559,0.02,36.346,0.669
2456794.45594,bf,V,12.692,0.02,32.317,0.595
2458119.62056,be,V,12.564,0.02,36.182,0.666
